CONSOLIDATED_ID,REPRESENTATIVE_STOP,STOPS_IN_CLUSTER,NUM_STOPS,LAT,LONG
C0,CHUK YUEN ESTATE BUS TERMINUS,4001;10000181;12572,3,22.345271956666664,114.19244883333333
C1,RAINBOW PRIMARY SCHOOL,4002;793,2,22.34506447,114.1900089
C2,MA CHAI HANG RECREATION GROUND,4003;1012;12581,3,22.344501753333333,114.1874234
C3,MORSE PARK,4004,1,22.33971842,114.1893872
C4,MORSE PARK SPORTS CENTRE,4005,1,22.3378039,114.1899015
C5,MORSE PARK OPEN-AIR THEATRE,4006;8089,2,22.33576737,114.19149325000001
C6,YING TUNG HOUSE,8090,1,22.33404709,114.1910369
C7,KOWLOON WALLED CITY PARK,4008;4040,2,22.33245787,114.1889497
C8,CARPENTER ROAD,4009;9130,2,22.33007393,114.1869888
C9,NGA TSIN WAI ROAD,4010;4038;9129;10000146,4,22.3283965075,114.18695465
C10,LA SALLE COLLEGE,4011;9122;9144;9143;4078;9145,6,22.327506458333332,114.18247018333334
C11,EARL STREET,4012;9121,2,22.32604657,114.1805434
C12,KNIGHT STREET,4013;7108,2,22.32603758,114.1763502
C13,DIOCESAN BOYS' SCHOOL,4014;9119,2,22.3253106,114.174307
C14,HEEP WOH PRIMARY SCHOOL,4015,1,22.32471004,114.1729336
C15,PRINCE EDWARD STATION,4016;4034;211;9077;4201;9078,6,22.325335968333334,114.16803183333332
C16,NELSON STREET MONG KOK,7036;751;12441;866;4018;10000147;4030;9053;9054;4048,10,22.317322003000005,114.16973182
C17,WING SING LANE YAU MA TEI,4020;9036;970;216,4,22.310978965,114.17104625
C18,CHEONG LOK STREET YAU MA TEI,4021;4052;4049;968,4,22.30685876,114.171478325
C19,BOWRING STREET YAU MA TEI,4022;4027,2,22.304517585,114.1716871
C20,CAMERON ROAD,7041;4050,2,22.298914099999998,114.1720706
C21,TSIM SHA TSUI BBI - MIDDLE ROAD,4024;965;12386;9004,4,22.2957804725,114.17217985
C22,HONG KONG CULTURAL CENTRE,7006;1278;12352;12481;13236,5,22.295371332000002,114.17053935999999
C23,STAR FERRY,4025,1,22.29411421,114.1690625
C24,KIMBERLEY ROAD,4076;961,2,22.29999325,114.1719056
C25,KOWLOON CENTRAL POST OFFICE,9009;4028;9010,3,22.309418176666668,114.17118706666668
C26,MAN MING LANE YAU MA TEI,193;745,2,22.31235612,114.1708958
C27,HK & KLN CHIU CHOW SCHOOL,4032,1,22.32176601,114.1711574
C28,QUEEN ELIZABETH SCHOOL,4033;9116,2,22.32351794,114.1707885
C29,FA HUI PARK,4035;7107,2,22.32681417,114.1731082
C30,CARITAS DORMITORY PRINCE EDWARD,4077,1,22.32698579,114.1773985
C31,LA SALLE PRIMARY SCHOOL,4055;9120,2,22.32713023,114.1809123
C32,ST. TERESA'S HOSPITAL,4037,1,22.32732872,114.1856296
C33,DUMBARTON ROAD,4039;9131;9141;9132,4,22.331132782500003,114.186751025
C34,MEI TUNG HOUSE,8091,1,22.33305379,114.1902699
C35,HONG KEUNG COURT,12364;12795,2,22.33679247,114.1900179
C36,WANG YIP HOUSE,4043;1373,2,22.34051316,114.1887951
C37,CHOI WAN BUS TERMINUS,1074;10000144,2,22.333433695,114.21481879999999
C38,NGAU CHI WAN BBI - NGAU CHI WAN MARKET,1075;1090;13313;10000186,4,22.3342091775,114.209732525
C39,NGAU CHI WAN BBI - TAN FUNG HOUSE,1142,1,22.33533616,114.2075972
C40,CHOI HUNG BBI - KAM WAN HOUSE,8337,1,22.33718797,114.2045884
C41,CHI LIN NUNNERY,1415;995,2,22.34003263,114.2044434
C42,FUNG TAK SHOPPING CENTRE,1147;1167,2,22.343022395,114.20032795
C43,LUNG YAT HOUSE,7025,1,22.33902244,114.1958619
C44,LUNG WING HOUSE,10244,1,22.33918522,114.1937554
C45,LUNG MOON HOUSE,8088;7059;8087,3,22.33774343666667,114.19280393333334
C46,COLLEGE ROAD,9146;9147,2,22.32900844,114.1849794
C47,LANCASHIRE ROAD,9135;9142,2,22.329956785,114.18163065
C48,KOWLOON TONG CLUB,4225;4238,2,22.3297672,114.1785148
C49,KOWLOON HOSPITAL,4226;7051;7032,3,22.322696230000002,114.18034919999998
C50,CLP POWER,4227;7050;7033;4236,4,22.320258000000003,114.176180375
C51,HO MAN TIN STREET,4228;4249,2,22.317742969999998,114.17486525
C52,KWONG WAH HOSPITAL,4229;4234,2,22.31498408,114.1726912
C53,YAU MA TEI FIRE STATION,4230;4233,2,22.313466915,114.171711
C54,"Canton Road, Waterloo Road",13129;726;12879;13403,4,22.313177825,114.16901045
C55,CHARMING GARDEN,10237;9041,2,22.31452308,114.1641017
C56,HOI FU COURT,9040;10236,2,22.316288534999998,114.1638056
C57,FOO KWAI STREET,9049,1,22.31881242,114.1619272
C58,BEECH STREET,9089;9088,2,22.31967942,114.16258225
C59,FUK TSUN STREET,9081,1,22.32051046,114.1653727
C60,MONG KOK STATION,12367;1339;7035;4047,4,22.31949029,114.1708858
C61,"KOWLOON HOSPITAL/<br>Kowloon Hospital, Waterloo Road",783;770,2,22.32355416,114.1782575
C62,LION ROCK ROAD,8098,1,22.3290173,114.1878623
C63,NAM KOK ROAD,8099;8096,2,22.32882749,114.1901142
C64,TAK KU LING ROAD,8094,1,22.33001038,114.1914927
C65,"HONG TUNG HOUSE, TUNG TAU ESTATE",13070,1,22.33254777,114.1935605
C66,"NING YUEN STREET, SAN PO KONG/<br>Ning Yuen Street, Choi Hung Road",8085;4161,2,22.334200255,114.19461390000001
C67,"CHOI HUNG ROAD PLAYGROUND/<br>Choi Hung Road Playground, Choi Hung Road",13405;10000047,2,22.337360869999998,114.1953472
C68,WONG TAI SIN POLICE STATION,1387;4117,2,22.33919385,114.1972307
C69,NGAU CHI WAN BBI - NGAU CHI WAN VILLAGE,1358;12918,2,22.33671792,114.2071413
C70,PAK HUNG HOUSE,1091;1039,2,22.33231831,114.2152844
C71,KOON YAT HOUSE,1073,1,22.33337458,114.2165272
C72,"PERFECT MOUNT GARDENS/<br>Perfect Mount Gardens, Tung Hei Road",550;12458,2,22.27871796,114.22855824999999
C73,"ALDRICH GARDEN/<br>Aldrich Garden, Oi Yin Street",747;10000250;10226,3,22.280912506666667,114.22822103333334
C74,"Nam Hong Street, Shau Kei Wan Road",101;1307,2,22.278958015,114.2261762
C75,"HOI AN STREET/<br>Hoi An Street, Shau Kei Wan Road",102;152,2,22.28071528,114.2234502
C76,"SAI WAN HO CIVIC CENTRE/<br>Sai Wan Ho Civic Centre, Shau Kei Wan Road",173;748;151;174;103;181,6,22.282774779999997,114.22160720000001
C77,"KORNHILL PLAZA/<br>Kornhill Plaza, Kornhill Road",104;149,2,22.28448282,114.2168045
C78,"BO FUNG GARDENS/<br>Bo Fung Gardens, King's Road",105;148;7132;7131;12982,5,22.28444203,114.21363721999998
C79,"SUNWAY GARDENS/<br>Sunway Gardens, King's Road",749;147;107;10000204,4,22.2860667825,114.21092455
C80,"MANSION STREET/<br>Mansion Street, King's Road",108;13083,2,22.2899119,114.2093049
C81,"HEALTHY VILLAGE/<br>Healthy Village, King's Road",110;144;7135;3019;12493,5,22.291597685999996,114.20577302
C82,"HEALTHY GARDENS/<br>Healthy Gardens, King's Road",111,1,22.2918003,114.2038905
C83,"KAM HONG STREET/<br>Kam Hong Street, King's Road",112;59;1062;142;178;1559,6,22.29110698,114.20046640000002
C84,CROSS HARBOUR TUNNEL BBI/<br>Cross Harbour Tunnel Bus-Bus Interchange,9015;9014;219,3,22.30310885,114.1802613
C85,"DIOCESAN GIRLS' SCHOOL/<br>Diocesan Girls' School, Gascoigne Road",9011;9012;10000137,3,22.30790408333333,114.17261056666666
C86,PITT STREET YAU MA TEI,9052;744;4053;214;194;9051,6,22.314169750000005,114.17039266666667
C87,"ARRAN STREET MONG KOK/<br>Arran Street, Nathan Road",10225;212;752;4105;9076;4202;725;12767,8,22.32260686125,114.1683135
C88,MAPLE STREET SHAM SHUI PO,9218;9219;9082;754;210;209;971,7,22.328023921428574,114.16562447142857
C89,PEI HO STREET SHAM SHUI PO,756;9217;972;4102;208,5,22.330346357999996,114.1626307
C90,KOWLOON TECHNICAL SCHOOL,9228;957,2,22.33364482,114.15858159999999
C91,"CHEUNG SHA WAN STATION/<br>Cheung Sha Wan Station, Cheung Sha Wan Road",758;9225,2,22.336782445,114.15455275
C92,CHEUNG LAI STREET CHEUNG SHA WAN,760;973,2,22.33690772,114.1473742
C93,MEI FOO BBI,739;9564;9258;4215;9256;9257,6,22.336743746666667,114.14034303333334
C94,LAI CHI KOK STATION,956;4211;10000235;10000236;865,5,22.337314322000005,114.14863222
C95,CHEUNG WAH STREET,740;9245,2,22.33865144,114.1522469
C96,CHEUNG SHA WAN STATION,9226;205;742;9227,4,22.3351821225,114.157263675
C97,KIU KIANG STREET SHAM SHUI PO,743;4111;9229,3,22.33261999666667,114.15992936666667
C98,"HONG KONG POLYTECHNIC UNIVERSITY PHASE 8/<br>Hong Kong Polytechnic University Phase 8, Chatham Road North",775,1,22.30645018,114.1800479
C99,"MODEL HOUSING ESTATE/<br>Model Housing Estate, King's Road",3274;10000202;3263;109,4,22.2916121875,114.20793947499999
C100,"NORTH POINT GOVERNMENT PRIMARY SCHOOL/<br>North Point Government Primary School, King's Road",146;12752,2,22.28900876,114.20972194999999
