District,Total population,Male,Female,Sex ratio (i.e. the number of males per 1 000 females in the respective age group),< 15 ,15 - 24,25 - 44,45 - 64,65+ ,Both sexes,Male,Female,Hong Kong,The mainland of China/ Macao/ Taiwan,Elsewhere,Chinese,Filipino,Indonesian,White,Others(1),Never married,Married,Widowed,Divorced,Separated,Never married,Married,Widowed,Divorced,Separated,Cantonese,Putonghua,Other Chinese dialects,English,Other languages,Proportion of population aged 5 and over able to read Chinese,Proportion of population aged 5 and over able to read English,Proportion of population aged 5 and over able to write Chinese,Proportion of population aged 5 and over able to write English,No schooling/ Pre-primary,Primary,Lower secondary,Upper secondary,Post-secondary: Diploma/ Certificate,Post-secondary: Sub-degree course,Post-secondary: Degree course,Study in the same district(3),Study in another district on Hong Kong Island,Study in another district in Kowloon,Study in another district in new towns,Study in another district in other areas in the New Territories,Labour force,Male,Female,Both sexes,Male,Female,Working population,Employees (including outworkers),Employers,Self-employed,Unpaid family workers,Non-working population,Home-makers,Students,Retired,Unpaid carers(6),Others,Work in the same district(7),Work in another district on Hong Kong Island,Work in another district in Kowloon,Work in another district in new towns,Work in another district in other areas in the New Territories,No fixed place/ Marine,Work at home,Places outside Hong Kong,"Less than 6,000","6,000 - 9,999","10,000 - 19,999","20,000 - 29,999","30,000 - 39,999","40,000 - 59,999","60,000 and over",Both sexes,Male,Female,"Less than 6,000","6,000 - 9,999","10,000 - 19,999","20,000 - 29,999","30,000 - 39,999","40,000 - 59,999","60,000 and over",Both sexes,Male,Female,Managers,Professionals,Associate professionals,Clerical support workers,Service and sales workers,Craft and related workers,Plant and machine operators and assemblers,Elementary occupations,Skilled agricultural and fishery workers; and occupations not classifiable,Manufacturing,Construction,"Import/export, wholesale and retail trades","Transportation, storage, postal and courier services",Accommodation and food services,Information and communications,Financing and insurance,"Real estate, professional and business services","Public administration, education, human health and social work activities",Miscellaneous social and personal services,Others(10),Less than 18,18-34,35-44,45-54,55-64,65 and over,Domestic households,1_person_households,2_person_households,3_person_households,4_person_households,5_person_households,6_and_over_person_households,Average domestic household size,Composed of couple(11),Composed of couple and unmarried children(12),Composed of lone parent and unmarried children(13),Composed of couple and at least one of their parents(14),"Composed of couple, at least one of their parents and their unmarried children(15)",Composed of other relationship combinations(16),One-person households(17),Non-relative households(18),"Less than 6,000","6,000 - 9,999","10,000 - 19,999","20,000 - 29,999","30,000 - 39,999","40,000 - 59,999","60,000 and over",Median monthly domestic household income (HK$),"Less than 6,000","6,000 - 9,999","10,000 - 19,999","20,000 - 29,999","30,000 - 39,999","40,000 - 59,999","60,000 and over",Median monthly household income (HK$) of economically active domestic households(19),Public rental housing,Subsidised home ownership housing,Private permanent housing,Non-domestic housing,Temporary housing,Public rental housing,Subsidised home ownership housing,Private permanent housing,Non-domestic housing,Temporary housing,Public rental housing,Subsidised home ownership housing,Private permanent housing,Non-domestic housing,Temporary housing,1,2,3,4,5,6 and over,Without exclusively used rooms,Owner-occupier - With mortgage or loan,Owner-occupier - Without mortgage and loan,Sole tenant,Co-tenant/ Main tenant/ Sub-tenant,Rent free,Provided by employer,By non-household members only,"1 - 3,999","4,000 - 5,999","6,000 - 7,999","8,000 - 9,999","10,000 - 19,999","20,000 and over",Median monthly domestic household mortgage payment and loan repayment (HK$),Median monthly domestic household mortgage payment and loan repayment to income ratio,"Less than 2,000(20)","2,000 - 5,999","6,000 - 9,999","10,000 and over",Median monthly domestic household rent (HK$),Median monthly domestic household rent to income ratio,Median floor area of accommodation of domestic households (square metres)(21),Hong Kong Island,Kowloon,New towns,Other areas in the New Territories/ Marine,Moved home within same area of residence,Remained in same address(23),Place of residence outside Hong Kong
Central and Western,235953,98282,137671,714,24382,16779,77767,71534,45491,44.8,46.2,43.9,126335,58311,51307,183502,18584,5950,13408,14509,26048,55698,1872,2247,366,40742,67675,9923,5709,1291,160608,12312,5545,41230,8616,78.3,82,76.3,79.8,6168,17676,21200,54804,13343,9129,89251,17493,8249,3224,1639,435,138216,58560,79656,65.3,67.9,63.6,132881,118205,6012,7749,915,103072,9831,30693,39408,3756,19384,44018,25862,16916,5617,1596,10932,25305,2635,24928,5964,27735,17198,12189,13426,30526,21250,30000,17000,4806,3946,27648,17196,12189,13426,30526,30000,30170,27500,23034,25552,26200,12948,12577,2493,2366,27671,40,2097,4662,17552,5504,4811,4815,22507,23861,21206,25451,415,7766,12095,46439,37890,17266,11425,88922,24464,24719,17139,12776,6695,3129,2.6,17324,25249,6785,1124,2174,6379,24464,5423,8762,4553,10228,9248,8200,11779,36152,45040,1496,1228,7280,8379,7698,11085,34936,57350,2867,-,84696,2331,135,2867,-,84348,1572,135,8194,-,222924,4697,138,4686,15844,33384,18111,9476,7238,183,14854,34342,34288,253,3096,2089,1868,374,522,662,924,4604,5900,18000,21.3,2791,4796,2982,26061,15070,28,41,9932,5408,5799,1562,26614,153665,25390
Wan Chai,166695,67075,99620,673,16917,9907,53860,50632,35379,46,48,44.9,91997,34611,40087,126271,15845,5478,7338,11763,17583,37290,1388,2003,455,28896,47267,8243,5725,928,113978,7144,2102,29689,8552,77.4,84.1,75.4,82.1,3750,10573,14481,41718,8868,6843,63545,8494,7966,1799,940,145,95914,38714,57200,64,65.9,62.8,92238,80492,5083,6205,458,74457,6873,20835,31242,2680,12827,17426,26911,10759,3493,1172,8730,22127,1620,20352,4820,16061,12652,7238,9612,21045,21000,32000,15000,2647,3320,15899,12652,7238,9612,21045,30000,33000,28750,17936,16352,17689,6787,8099,1706,1178,22468,23,1648,3267,12198,2807,2979,4532,14927,14952,12740,21801,387,5413,8542,32246,25811,11326,8900,63128,17579,17915,11615,8640,4928,2451,2.6,11199,16215,5785,674,1489,5339,17579,4848,6476,3705,7689,6170,5220,7599,26269,45000,1175,979,5389,5324,4523,7000,25180,60070,2514,-,60418,407,116,2514,-,60205,293,116,6221,-,158726,1632,116,3436,11391,20369,13066,8516,6277,73,8825,23555,26634,45,2285,1784,1157,213,211,167,462,2618,3997,20000,21.4,2496,3405,2979,19583,16300,28.1,47,11587,4978,4826,1132,17262,104927,16873
Eastern,529603,233542,296061,789,51517,36336,143911,174132,123707,49,49.2,48.8,339003,139779,50821,481013,18362,13646,2227,14355,62018,131759,5579,6806,837,73267,152134,28599,15454,1633,447957,11929,19682,25231,10491,89.1,74.2,87.1,71.7,21013,54890,69873,142260,29015,23470,137565,38350,18161,6748,3684,743,281513,131678,149835,58.9,63.6,55.3,266089,240675,7324,17376,714,263514,25058,66336,115267,9981,46872,57396,75135,43826,14718,4128,33558,33662,3666,42393,13825,79965,46755,24868,26437,31132,19000,21000,15500,13272,13087,79943,46755,24868,26437,31132,20000,21000,20000,33818,34872,51883,36160,40694,9989,8470,49826,377,7744,15945,41198,15233,15236,11145,29655,45944,44616,38204,1169,17080,21680,94307,86202,27324,19496,188706,35769,54566,45509,32146,14775,5941,2.8,35069,61887,20525,3266,7166,19671,35769,5353,20735,13673,29212,25003,20429,28177,51477,32000,3899,3170,20566,22718,18946,26822,50002,41900,37977,28633,121886,532,245,37911,28628,121562,360,245,105260,83062,337695,3057,529,10922,23292,71213,53499,24113,5572,95,29787,81414,69947,275,5228,2055,3525,1313,1657,2139,2193,11849,7111,14000,20,14475,30239,3415,24148,3520,19.3,44,15299,8426,10529,2079,46515,406489,26276
Southern,263278,116239,147039,791,27255,18842,72397,87976,56808,48.1,48.6,47.7,174132,55172,33974,226568,14087,5705,7144,9774,31462,63726,2775,4016,484,36933,74609,13831,7353,834,211467,6390,5633,26639,5793,83.5,72.8,80.3,70.3,15770,32197,34616,68980,12924,10827,60709,18889,11140,2705,1730,244,141885,66263,75622,60.1,64.7,56.6,134977,122694,4122,7698,463,128301,12321,35320,48796,4672,27192,27579,43365,16557,5584,2152,16717,21537,1486,24322,8507,43256,21666,11214,9798,15751,17000,20000,13000,6582,6828,43109,21666,11214,9798,15751,20000,20000,18000,15108,14858,23654,16099,21838,5442,5891,31661,426,3120,7751,17738,9469,8243,3934,12655,24187,23246,23843,791,8726,11292,43593,45263,14184,11919,86479,13627,23365,21737,15825,7837,4088,2.9,14888,31370,9826,1293,3147,10066,13627,2262,8362,6273,13719,11807,10169,12356,23793,32440,1656,1569,10112,11082,9808,11903,23043,40110,25770,15775,44060,955,526,25730,15727,43961,535,526,71165,43538,139455,7087,2033,8189,11294,31423,17910,11613,6046,4,12440,29806,38561,68,2589,3015,1299,1164,1087,1092,678,3481,3639,13750,20,12426,16564,1237,11417,2850,15.7,41,10450,4560,4128,1508,20782,200203,14426
Yau Tsim Mong,310647,138873,171774,808,36181,23224,100877,94797,55568,44,45.1,43.2,163247,98567,48833,257189,11980,7215,2902,31361,36708,74080,2872,5530,1261,42974,83984,12963,11761,2333,232567,14157,6304,22633,23002,83.9,75,81.5,72,9330,31222,42347,83782,15965,12915,78905,19259,5560,13473,4083,545,174774,83833,90941,63.7,69.6,59,162705,141822,7285,12797,801,147942,16923,42513,48431,6614,33461,37703,34214,23661,15968,4192,23699,20704,2564,24289,9883,51579,27465,14637,14453,19598,18000,21000,15000,8209,9328,51547,27465,14637,14453,19598,20000,21000,18000,19978,20740,33267,18965,27897,7485,3861,30352,160,3231,13421,32683,8813,10821,5707,17089,22995,23735,23484,726,11765,17375,55938,48899,16830,11898,123707,37041,35910,23245,16480,7858,3173,2.5,21053,30918,12302,1146,3280,12088,37041,5879,16080,8549,24397,17794,11893,16218,28776,26080,4821,3571,19939,16584,11311,15816,28127,33550,3371,4081,111084,4124,1253,3371,4081,110936,4066,1253,9269,12138,277867,9562,1811,13098,25742,44373,23245,10897,5597,755,18903,40842,56728,359,4678,2197,2353,788,1386,1378,1639,6585,4774,13530,22.8,2672,21894,12305,22413,7000,32,37,6925,14591,13189,2361,32320,197542,31863
Sham Shui Po,431090,197878,233212,848,49337,35476,123081,135261,87935,46.2,46,46.3,239714,164676,26700,404228,8310,6937,830,10785,55396,101275,4527,9572,1243,55401,110925,23879,17938,1597,372545,9685,16479,11214,6731,91.8,66.4,88.9,63,17955,60131,75063,112108,19633,17593,79270,34829,4782,17354,7222,741,221796,110830,110966,58.1,64.4,52.9,204073,185881,4533,13221,438,227017,23806,63898,79513,10424,49376,28787,35873,47740,28275,6765,36915,17051,2667,26912,14811,81084,35641,16219,14429,14539,16000,18500,14000,13054,14440,81015,35641,16219,14429,14539,17000,18530,15370,16258,20905,34994,26545,43694,12740,8099,40607,231,5401,20846,33833,16236,19196,7163,13598,32108,32568,21879,1245,15030,19322,67382,67760,21288,13291,165439,42122,47485,37276,24875,10085,3596,2.5,25136,46424,22894,2036,5134,17651,42122,4042,19944,18138,38441,25871,17771,20254,25020,21490,5285,5569,30898,24637,17332,19619,24470,28540,62233,13397,88166,1282,1226,62161,13397,88052,603,1226,162079,35878,225225,5802,2106,28889,39302,58111,25221,9114,4317,485,23512,35810,101405,197,3472,1043,2659,1136,1283,1508,2121,10904,3901,12500,23.6,22973,59386,8415,11871,3240,19.6,34,10551,30888,27497,3168,37209,280486,27440
Kowloon City,410634,179518,231116,777,50327,31113,121174,125562,82458,45.4,46.1,45,239256,126566,44812,366580,17830,10411,998,14815,44775,97933,4249,6042,713,55304,113699,20596,15343,1653,336253,12009,13908,24779,10002,88.2,74.2,86,71.5,13463,41016,55111,104354,20495,17548,108320,37854,5063,14228,6140,577,217531,100604,116927,60.4,65.4,56.6,203964,180697,9152,13465,650,206670,20094,63693,72433,9549,40901,25835,39244,53720,18949,4508,28130,30157,3421,35770,11200,59057,34222,17962,20464,24639,18000,21250,15000,9606,10495,59007,34208,17962,20464,24639,20000,21250,20000,25145,28490,40539,24358,30484,8681,5778,40331,158,5679,14482,32245,11877,12971,8010,17879,31028,35164,33830,799,13871,17573,70728,64540,21954,15298,147023,32089,41433,32656,23831,11980,5034,2.7,24601,45960,17158,1665,6012,14388,32089,5150,15378,12990,25741,19045,15222,19773,38874,30010,3538,3513,19987,17595,14333,18960,37585,38670,34927,4040,107684,1071,480,34824,4040,107229,450,480,88101,10842,306163,4721,807,14912,27080,48995,27457,17758,10719,102,25329,44394,71101,194,4381,1624,3165,656,1051,1445,1667,9402,7943,15000,22.5,12214,32843,6278,21584,4000,21.8,40,6535,23590,18737,1582,39245,280084,27457
Wong Tai Sin,406802,187531,219271,855,36271,33463,103363,140294,93411,50.1,49.6,50.5,249454,140059,17289,390871,4047,6157,287,5440,56675,97903,4882,8681,658,57548,102344,27867,13024,949,369700,4777,14020,5170,3526,93.2,63.4,90.4,60.4,23092,66854,70704,109792,20071,18467,61551,25611,3850,18130,6150,795,209093,107236,101857,56.4,63.5,50.5,192614,177290,2749,12268,307,214188,21820,52204,87688,9912,42564,18584,31927,62624,23929,6226,35737,11582,2005,22409,14293,81164,40049,15576,12115,6701,16000,18240,14780,12811,14150,81164,40049,15576,12115,6701,17000,18240,15000,11336,15402,34296,29851,45498,13769,9520,32621,321,5605,19056,29522,16226,16659,7533,10325,32657,36148,17625,1258,14102,16133,61536,68785,20114,11944,147085,29032,41004,37360,25967,9811,3911,2.7,20209,45666,20098,2020,6543,21443,29032,2074,17533,16022,29844,24891,18446,21791,18558,23520,4374,4518,23257,24015,18126,21599,18382,30140,73311,45900,27433,687,253,73207,45815,27418,392,253,199740,125963,76904,3591,604,17446,26149,65056,29683,7325,1389,37,14562,46569,81885,72,1910,2087,1735,2305,1663,1941,1530,4065,1323,8500,19.2,26350,51370,2134,4190,2430,13.2,38,3329,13981,8550,1113,16506,342007,12099
Kwun Tong,673166,312303,360863,865,70063,60321,174338,220703,147741,48,47.5,48.5,381613,261450,30103,646218,7060,9621,450,9817,88668,164497,6923,14079,1317,85883,173898,40910,25305,1623,598041,9334,33039,8818,6194,93.4,63.5,90.8,60.1,34138,101040,120025,183280,32606,30544,101470,51568,10692,25420,13776,1369,339904,173365,166539,56.4,62.9,50.8,312937,288509,4339,19589,500,360229,35129,98479,139081,16996,70544,67168,59819,59388,35079,8895,60649,18956,2983,36271,24720,132068,60488,28030,20628,10232,16000,18000,14000,21049,24468,132038,60488,28030,20628,10232,16500,18000,15000,18665,24345,53774,46418,77592,22116,14760,54840,427,9014,32383,49059,25441,31411,10429,16983,52711,56080,27737,1689,22000,27877,97719,111345,34469,19527,247592,50319,71700,61924,41756,16031,5862,2.7,37452,77237,35405,3011,10250,30562,50319,3356,27536,29592,55501,40866,29286,34791,30020,22000,6307,7926,42689,39564,28797,34400,29748,29240,147020,34092,65881,1298,410,146765,33930,65706,781,410,387749,94561,182932,7065,859,39599,48062,100880,47416,10222,1324,89,20161,51875,164756,92,3334,7374,2004,1616,1650,2147,2135,8168,2441,11000,20.2,53918,104106,4345,9853,2720,14.1,35,12725,33469,20901,2816,40809,523362,21920
Kwai Tsing,495798,232213,263585,881,49421,42474,132936,161501,109466,48,47.5,48.5,293140,177953,24705,473126,4966,6712,435,10559,68999,121283,5337,10064,962,64849,128012,27754,17744,1373,441762,8637,16801,6457,8258,92.6,63.1,89.9,59.7,27431,79697,89748,130720,23399,22108,73274,34486,4539,14946,14662,991,253756,132050,121706,56.8,63.9,50.8,234425,215102,3552,15407,364,261373,26258,67787,100438,11535,55355,31318,31989,51343,46531,11672,46278,13159,2135,25609,18793,100257,47502,19710,13256,8934,16000,18000,14500,14641,18653,100257,47502,19710,13256,8934,17000,18000,15000,13058,18447,41817,36849,49661,17717,13251,43308,317,9791,25527,35045,27249,18414,7363,11711,38375,39724,20016,1210,16889,19833,75360,82726,24731,14886,176604,34189,49125,44233,32040,12341,4676,2.7,25886,57856,24597,2226,6233,23579,34189,2038,18009,19082,37562,29984,22392,25757,23818,23740,4464,5286,29370,28852,22005,25380,23565,30170,101071,28231,45240,2207,632,100954,28217,45190,1601,642,277243,79473,127986,9894,1202,23529,31394,79087,32618,8283,1630,63,18016,41117,111875,102,2411,3083,1678,1250,1910,2216,1855,7362,1745,10500,19.8,40606,65911,3114,5429,2430,12.6,37,4276,10233,15670,1617,20131,415788,14682
