Sum of Population,Column Labels,,,,,,,,,,,,,,,,,
Row Labels,Central and Western,Eastern,Islands,Kowloon City,Kwai Tsing,Kwun Tong,North,Sai Kung,Sha Tin,Sham Shui Po,Southern,Tai Po,Tsuen Wan,Tuen Mun,Wan Chai,Wong Tai Sin,Yau Tsim Mong,Yuen Long
Central and Western,44018,7867,86,1986,1675,4542,123,362,1202,2740,5943,678,971,305,12052,368,7280,215
Eastern (1),35603,57396,117,5336,4101,18333,397,2510,2972,4745,8496,1409,2130,706,31036,1862,13550,376
Islands,10602,2430,5468,1501,3303,2913,94,316,958,2824,1752,362,1885,997,5769,473,6300,290
Kowloon City,16256,8417,208,25835,5443,18533,425,1866,4823,7436,2567,2173,2563,946,12004,4488,23263,502
Kwai Tsing,14384,5726,942,5691,45075,11847,812,1190,5820,12739,2448,2291,17227,2836,9431,2522,18544,1656
Kwun Tong,18528,17658,326,13919,8398,67168,1135,9341,7456,11160,4326,2747,3239,1551,19307,8009,26300,886
North,4918,2395,124,3637,3297,7174,23649,580,10290,4138,1031,9692,2185,1764,4225,1578,9668,2130
Sai Kung,21844,18891,77,9328,5201,35697,725,24098,5226,7250,4697,2157,2590,808,18153,5389,18946,285
Sha Tin,20203,10129,533,12386,11956,26190,3463,3050,61448,12394,3510,9636,7160,2659,14981,6501,28161,1521
Sham Shui Po,15541,6794,308,7736,10390,12634,832,1956,4473,28787,2855,1808,5064,1971,10683,2996,24374,1473
Southern,20941,8291,91,1980,1754,5151,173,619,847,2413,27579,661,994,267,14133,617,6396,351
Tai Po,6970,3924,212,4934,4495,10681,3841,992,12185,5329,919,26728,2601,1069,5613,1520,11341,1088
Tsuen Wan,12551,5226,710,4398,15059,8522,542,521,4780,7759,2054,1988,24308,2791,7597,1629,12344,1901
Tuen Mun,10864,4582,643,4893,14167,10041,2890,894,3445,9670,1987,2347,11816,53065,8144,1978,15405,11403
Wan Chai (1),16289,7765,11,1442,1048,3671,68,422,832,1282,2857,439,400,204,17426,456,3908,69
Wong Tai Sin,11947,7498,136,12173,6599,21991,851,3186,6005,8624,2372,2207,2991,1137,10110,18584,19836,817
Yau Tsim Mong,16683,5860,299,5948,4900,8534,430,1105,2894,7025,2034,1511,3521,791,9637,2154,37703,517
Yuen Long,16386,5959,441,7099,14819,13453,5930,842,6618,11485,2940,4143,12261,22367,11553,1926,22531,44484
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
