,Central and Western,Wan Chai,Eastern,Southern,Yau Tsim Mong,Sham Shui Po,Kowloon City,Wong Tai Sin,Kwun Tong,Sai Kung,Sha Tin,Tai Po,North,Kwai Tsing,Tsuen Wan,Tuen Mun,Yuen Long,Islands
Central and Western,0.0,507830.39999999997,556292.0,317398.39999999997,1183248.0,425101.60000000003,182511.99999999997,33818.399999999994,615384.0,48558.4,188531.19999999995,112288.0,25779.6,259230.40000000002,162879.19999999998,47132.8,37281.2,18017.999999999996
Wan Chai,915129.5999999999,0.0,436127.99999999994,189050.4,697831.1999999998,237688.0,176607.19999999998,55827.2,662904.0,75187.20000000001,173887.99999999997,101640.00000000001,19641.6,216629.60000000003,82482.40000000001,42600.8,16121.599999999999,2864.3999999999996
Eastern,3622308.8000000003,1881263.9999999998,0.0,754071.9999999999,1789154.4,662389.2000000001,704818.3999999999,245854.39999999997,3571920.0,483234.4,669011.1999999998,352690.80000000005,120304.79999999999,870161.6000000001,451897.60000000003,157713.6,92699.2,34834.799999999996
Southern,3650393.9999999995,2290094.4,1669060.7999999998,0.0,3203534.4,858748.0,914055.9999999998,222499.19999999998,1858903.2,370391.99999999994,432889.60000000003,397782.0,134015.19999999998,913211.2,517704.0,178323.19999999995,237160.0,63505.19999999999
Yau Tsim Mong,1997740.8000000003,950804.7999999998,396158.39999999997,229785.59999999998,0.0,537372.0,402063.19999999995,145472.8,302720.0,102137.20000000003,256960.0,101156.0,40154.399999999994,252476.40000000002,322344.0,90640.00000000001,50336.00000000001,53002.4
Sham Shui Po,2112818.4000000004,1304028.0,578384.4,273064.0,2219923.2,0.0,673728.0,260779.19999999998,617012.0,155993.19999999998,498955.5999999999,149050.0,92949.99999999999,459593.2,224048.0,257875.2,126412.0,56267.200000000004
Kowloon City,3490273.5999999996,2577713.5999999996,1807405.5999999999,849534.3999999998,4994924.0,1727299.2,0.0,458084.0,1891797.5999999999,528466.4,925148.4,416772.4,128655.99999999999,1408083.5999999999,460019.99999999994,139708.80000000002,134428.8,84726.40000000001
Wong Tai Sin,1693067.2,1432719.2,1062327.2,404896.8,2811221.5999999996,1322481.5999999999,820212.7999999999,0.0,1481691.2,381141.2,599764.0,279606.8,197009.99999999997,766480.0,351076.0,187440.0,146361.6,45936.0
Kwun Tong,4152456.0,4327488.0,3957624.0,791683.2,2095948.8000000003,1028244.8,1005232.7999999999,578538.4,0.0,1198260.8,891264.0,335042.4,265531.2,1045880.0,407514.8,274287.19999999995,170077.6,117392.0
Sai Kung,2360564.8000000003,1961916.0,2041802.4000000001,695692.7999999999,1921502.0000000005,532932.4,911710.8000000002,337180.80000000005,2232463.2,0.0,326757.2,135053.6,46200.0,382263.2,179071.19999999995,58643.19999999999,8751.599999999999,9631.599999999999
Sha Tin,6527206.3999999985,4839577.599999999,3272755.1999999993,1133932.8,6998464.0,3253249.9999999995,2096811.2000000002,868428.0,3905088.0,488096.4,0.0,763408.7999999999,758128.7999999999,2321000.0,2079215.5999999999,698240.3999999999,363871.2,239060.8
Tai Po,1848880.0,1563223.2000000002,1092630.0,271656.0,1654166.7999999998,803000.0,648419.2000000001,199513.6,1262122.4000000001,123270.40000000001,749271.6,0.0,416592.0,677600.0,602342.4,248815.6,201924.80000000002,60737.600000000006
North,1297573.2,1114660.7999999998,632214.0,306715.19999999995,1545944.4,661803.9999999999,591817.6,296828.39999999997,1275542.4000000001,57750.0,1372324.8,825264.0,0.0,533451.6000000001,268840.0,225126.0,135018.4,17582.4
Kwai Tsing,4002662.4000000004,2624028.0000000005,1516099.2000000002,701465.6,2329575.6,1152962.8,1129959.5999999999,340560.0,1600280.0,194326.0,982850.0,386650.0,187347.60000000003,0.0,3118394.4,885284.4,384454.39999999997,405640.4
Tsuen Wan,2955374.3999999994,1652367.2000000002,1081449.6,459870.39999999997,2151138.0,548917.6,473932.79999999993,173760.4,908798.0,62699.999999999985,943751.6,402969.6,74360.0,2130814.4,0.0,386188.0,126403.2,157828.00000000003
Tuen Mun,3702644.0000000005,2775396.8000000003,1561727.2000000002,894009.6000000001,5249868.800000001,3167683.2,680064.0,464851.19999999995,2358620.0,175929.59999999998,962961.9999999999,748994.4,645678.0,5414362.800000001,2560945.1999999997,0.0,1282969.5999999999,157590.40000000002
Yuen Long,4325626.8,3050005.1999999997,1572863.5999999999,931700.0,4571283.2,1721148.0,1243968.0,342188.0,2388540.0,49592.399999999994,1174958.4000000001,735196.0,458119.2,2938654.4,890366.3999999999,1753312.0,0.0,75539.20000000001
Islands,3630026.3999999994,1569691.2,832431.5999999999,621354.7999999999,2505060.8,984676.0,436902.4000000001,172260.00000000003,1059080.0000000002,78803.99999999999,347146.8,107861.6,17582.4,1320787.6,498550.80000000005,184940.80000000002,54049.600000000006,0.0
