ROUTE_ID,COMPANY_CODE,DISTRICT,ROUTE_NAMES,ROUTE_NAMEE,ROUTE_TYPE,SERVICE_MODE,SPECIAL_TYPE,JOURNEY_TIME,LOC_START_NAMEE,LOC_END_NAMEE,FULL_FARE
1001,KMB,,1,1,1,R,0,43,CHUK YUEN ESTATE,STAR FERRY,6.7
1002,KMB,,10,10,1,R,0,57,CHOI WAN,TAI KOK TSUI (CIRCULAR),5.6
1006,KMB+CTB,,102P,102P,1,T,1,67,SHAU KEI WAN,MEI FOO,12.9
1008,KMB+CTB,,103,103,1,R,0,65,CHUK YUEN ESTATE,POKFIELD RD,12.9
1010,KMB+CTB,,106,106,1,R,0,88,Wong Tai Sin,Siu Sai Wan (Island Resort),12.9
1014,KMB,,108,108,1,R,0,53,KAI YIP,BRAEMAR HILL,12.4
1015,KMB+CTB,,109,109,1,R,0,41,Ho Man Tin,Central (Macau Ferry),12.2
1016,KMB,,11,11,1,R,0,43,DIAMOND HILL STATION,KOWLOON STATION,5.8
1017,KMB+CTB,,110,110,1,T,0,86,SHAU KEI WAN,TSIM SHA TSUI (CIRCULAR),12.2
1019,KMB+CTB,,112,112,1,R,0,53,North Point,So Uk,12.2
1021,KMB+CTB,,115,115,1,R,0,46,Kowloon City Ferry,Central (Macau Ferry),12.2
1022,KMB+CTB,,115P,115P,1,T,1,35,LAGUNA VERDE,Central (Macau Ferry),12.2
1023,KMB+CTB,,116,116,1,R,0,63,Tsz Wan Shan (Central),Quarry Bay,12.9
1024,KMB+CTB,,117,117,1,R,0,46,SHAM SHUI PO (YEN CHOW ST),HAPPY VALLEY (LOWER),12.2
1027,KMB,,11B,11B,1,R,0,30,KWUN TONG (TSUI PING ROAD),KOWLOON CITY FERRY,5.8
1028,KMB,,11C,11C,1,R,0,45,CHUK YUEN ESTATE,SAU MAU PING (UPPER),6.7
1029,KMB,,11D,11D,1,R,0,32,LOK FU,KWUN TONG FERRY,5.8
1030,KMB,,11K,11K,1,R,0,40,CHUK YUEN ESTATE,HUNG HOM STATION,5.8
1031,KMB,,11X,11X,1,R,0,51,ON TAI (NORTH),HUNG HOM STATION,8.6
1032,KMB,,12,12,1,R,0,41,HOI LAI ESTATE,TSIM SHA TSUI EAST (MODY ROAD),5.6
1033,KMB,,12A,12A,1,R,0,44,WHAMPOA GARDEN,CHEUNG SHA WAN (HOI TAT ESTATE),5.8
1034,KMB,,13D,13D,1,T,1,63,PO TAT,ISLAND HARBOURVIEW,7.8
1035,KMB,,13M,13M,1,R,0,20,KWUN TONG (ELEGANCE ROAD),PO TAT (CIRCULAR),5.1
1036,KMB,,13P,13P,1,T,1,53,PO TAT,CHEUNG SHA WAN (LAI KOK ESTATE),7.8
1037,KMB,,13X,13X,1,R,0,57,PO TAT,TSIM SHA TSUI EAST,8.6
1038,KMB,,14,14,1,R,0,49,LEI YUE MUN ESTATE,CHINA FERRY TERMINAL,7.8
1039,KMB,,14B,14B,1,R,0,28,NGAU TAU KOK,LAM TIN (KWONG TIN ESTATE),5.8
1040,KMB,,14X,14X,1,R,0,49,YAU TONG (SHUNG TAK WAI),TSIM SHA TSUI (CIRCULAR),8.6
1041,KMB,,15,15,1,R,0,45,PING TIN,HUNG HOM (HUNG LUEN ROAD),7.8
1042,KMB,,15A,15A,1,R,0,57,PING TIN,TSZ WAN SHAN (NORTH),6.7
1044,KMB,,16,16,1,R,0,49,LAM TIN (KWONG TIN ESTATE),MONG KOK (PARK AVENUE),7.8
1045,KMB,,16M,16M,1,R,0,19,KWUN TONG (YUE MAN SQUARE),LAM TIN (HONG WAH COURT) (CIRCULAR),5.2
1046,KMB,,17,17,1,R,0,37,KWUN TONG (YUE MAN SQUARE),HO MAN TIN (OI MAN ESTATE),6.7
1047,KMB+CTB,,170,170,1,R,0,56,SHATIN STATION,WAH FU (CENTRAL),20.8
1050,KMB,,18,18,1,R,0,46,CHEUNG SHA WAN (HOI TAT ESTATE),OI MAN(CIRCULAR),5.6
1051,KMB+CTB,,182,182,1,R,0,61,Yu Chui Court,Central (Macau Ferry),20.8
1053,KMB,,1A,1A,1,R,0,57,SAU MAU PING (CENTRAL),STAR FERRY,8.2
1054,KMB,,2,2,1,R,0,36,STAR FERRY,CHEUNG SHA WAN (SO UK ESTATE),5.6
1056,KMB,,203E,203E,1,R,0,51,CHOI HUNG,KOWLOON STATION,6.7
1057,KMB,,208,208,1,R,0,39,BROADCAST DRIVE,TSIM SHA TSUI EAST,9.3
1058,KMB,,21,21,1,R,0,37,CHOI WAN,HUNG HOM STATION,5.6
1059,KMB,,211,211,1,R,0,15,TSUI CHUK GARDEN,WONG TAI SIN STATION (CIRCULAR),4.6
1061,KMB,,215X,215X,1,R,0,43,LAM TIN (KWONG TIN ESTATE),KOWLOON STATION,8.6
1062,KMB,,216M,216M,1,R,0,20,LAM TIN STATION,YAU TONG STATION (CIRCULAR),4
1064,KMB,,219X,219X,1,R,0,38,LAGUNA CITY,TSIM SHA TSUI(CIRCULAR),8.6
1066,KMB,,224X,224X,1,T,1,30,KAI YIP,TSIM SHA TSUI EAST (CIRCULAR),8.6
1067,KMB,,23,23,1,R,0,28,KWUN TONG FERRY,SHUN LEE (CIRCULAR),5.2
1068,KMB,,230X,230X,1,T,1,55,TSUEN WAN (ALLWAY GARDENS),WHAMPOA GARDEN,11
1069,KMB,,234A,234A,1,R,0,26,SHAM TSENG (SEA CREST VILLA),TSUEN WAN WEST STATION,7.1
1070,KMB,,234B,234B,1,R,0,29,TSUEN WAN WEST STATION,SHAM TSENG (SEA CREST VILLA),5.8
1071,KMB,,234P,234P,1,T,1,43,TSUEN WAN (BAYVIEW GARDEN),STAR FERRY,10.2
1073,KMB,,234X,234X,1,R,0,63,TSIM SHA TSUI EAST (MODY ROAD),TSUEN WAN (BAYVIEW GARDEN),10.2
1074,KMB,,235,235,1,R,0,32,KWAI CHUNG (ON YAM ESTATE),TSUEN WAN (CIRCULAR),5.1
1075,KMB,,235M,235M,1,R,0,19,KWAI CHUNG (ON YAM ESTATE),KWAI FONG STATION,4.8
1077,KMB,,238M,238M,1,R,0,15,TSUEN WAN (RIVIERA GARDENS),TSUEN WAN STATION,4.3
1078,KMB,,238P,238P,1,T,1,43,TSUEN WAN (RIVIERA GARDENS),CHINA FERRY TERMINAL,9.3
1079,KMB,,238X,238X,1,R,0,47,TSUEN WAN (RIVIERA GARDENS),CHINA FERRY TERMINAL,9.3
1081,KMB,,24,24,1,R,0,37,KAI YIP,MONG KOK (CIRCULAR),5.8
