ROUTE_ID,ROUTE_SEQ,STOP_SEQ,STOP_ID,STOP_PICK_DROP,STOP_NAMEE
1001,1,1,4001,2,CHUK YUEN ESTATE BUS TERMINUS
1001,1,2,4002,3,RAINBOW PRIMARY SCHOOL
1001,1,3,4003,3,MA CHAI HANG RECREATION GROUND
1001,1,4,4004,3,MORSE PARK
1001,1,5,4005,3,MORSE PARK SPORTS CENTRE
1001,1,6,4006,3,WAI TUNG HOUSE
1001,1,7,8090,3,YING TUNG HOUSE
1001,1,8,4008,3,KOWLOON WALLED CITY PARK
1001,1,9,4009,3,CARPENTER ROAD
1001,1,10,4010,3,PRINCE EDWARD ROAD WEST
1001,1,11,4011,3,LA SALLE ROAD
1001,1,12,4012,3,EARL STREET
1001,1,13,4013,3,KNIGHT STREET
1001,1,14,4014,3,DIOCESAN BOYS' SCHOOL
1001,1,15,4015,3,HEEP WOH PRIMARY SCHOOL
1001,1,16,4016,3,PRINCE EDWARD STATION
1001,1,17,7036,3,NELSON STREET MONG KOK
1001,1,18,4018,3,SOY STREET MONG KOK
1001,1,19,4020,3,WING SING LANE YAU MA TEI
1001,1,20,4021,3,CHEONG LOK STREET YAU MA TEI
1001,1,21,4022,3,TAK SHING STREET TSIM SHA TSUI
1001,1,22,7041,3,CAMERON ROAD
1001,1,23,4024,3,TSIM SHA TSUI BBI - MIDDLE ROAD
1001,1,24,7006,3,HONG KONG CULTURAL CENTRE
1001,1,25,4025,1,STAR FERRY
1001,2,1,4025,2,STAR FERRY
1001,2,2,965,3,TSIM SHA TSUI BBI - MIDDLE ROAD
1001,2,3,4076,3,KIMBERLEY ROAD
1001,2,4,4027,3,BOWRING STREET YAU MA TEI
1001,2,5,9009,3,KOWLOON CENTRAL POST OFFICE
1001,2,6,193,3,MAN MING LANE YAU MA TEI
1001,2,7,9053,3,CHEUNG SHA STREET MONG KOK
1001,2,8,751,3,NELSON STREET MONG KOK
1001,2,9,4032,3,HK & KLN CHIU CHOW SCHOOL
1001,2,10,4033,3,QUEEN ELIZABETH SCHOOL
1001,2,11,4034,3,PRINCE EDWARD STATION
1001,2,12,4035,3,FA HUI PARK
1001,2,13,4077,3,CARITAS DORMITORY PRINCE EDWARD
1001,2,14,4055,3,LA SALLE PRIMARY SCHOOL
1001,2,15,4037,3,ST. TERESA'S HOSPITAL
1001,2,16,4038,3,NGA TSIN WAI ROAD
1001,2,17,4039,3,DUMBARTON ROAD
1001,2,18,4040,3,KOWLOON WALLED CITY PARK
1001,2,19,8091,3,MEI TUNG HOUSE
1001,2,20,8089,3,MORSE PARK OPEN-AIR THEATRE
1001,2,21,12364,3,HONG KEUNG COURT
1001,2,22,4043,3,WANG YIP HOUSE
1001,2,23,1012,3,TIN WANG COURT
1001,2,24,793,3,RAINBOW PRIMARY SCHOOL
1001,2,25,4001,1,CHUK YUEN ESTATE BUS TERMINUS
1002,1,1,1074,2,CHOI WAN BUS TERMINUS
1002,1,2,1075,3,NGAU CHI WAN BBI - CHOI HUNG STATION
1002,1,3,1142,3,NGAU CHI WAN BBI - TAN FUNG HOUSE
1002,1,4,8337,3,CHOI HUNG BBI - KAM WAN HOUSE
1002,1,5,1415,3,CHI LIN NUNNERY
1002,1,6,1147,3,LUNG POON COURT
1002,1,7,7025,3,LUNG YAT HOUSE
1002,1,8,10244,3,LUNG WING HOUSE
1002,1,9,8088,3,MORSE PARK NO. 2
1002,1,10,4006,3,WAI TUNG HOUSE
1002,1,11,8090,3,YING TUNG HOUSE
1002,1,12,4008,3,KOWLOON WALLED CITY PARK
1002,1,13,9131,3,DUMBARTON ROAD
1002,1,14,9146,3,COLLEGE ROAD
1002,1,15,9135,3,OXFORD ROAD
1002,1,16,4225,3,KOWLOON TONG CLUB
1002,1,17,4226,3,KOWLOON HOSPITAL
1002,1,18,4227,3,MAN KEE MANSION
1002,1,19,4228,3,HO MAN TIN STREET
1002,1,20,4229,3,KWONG WAH HOSPITAL
1002,1,21,4230,3,YAU MA TEI FIRE STATION
1002,1,22,13129,3,SHANGHAI STREET
1002,1,23,10237,3,CHARMING GARDEN
1002,1,24,9040,3,PARK AVENUE
1002,1,25,9049,3,FOO KWAI STREET
1002,1,26,9089,3,BEECH STREET
1002,1,27,9081,3,FUK TSUN STREET
1002,1,28,12367,3,MONG KOK STATION
1002,1,29,7050,3,CLP POWER ARGYLE STREET
1002,1,30,783,3,ST. GEORGE APARTMENTS
1002,1,31,9121,3,EARL STREET
1002,1,32,9144,3,LA SALLE COLLEGE
1002,1,33,9142,3,LANCASHIRE ROAD
1002,1,34,9147,3,COLLEGE ROAD
1002,1,35,8098,3,LION ROCK ROAD
1002,1,36,8099,3,NAM KOK ROAD
1002,1,37,8094,3,TAK KU LING ROAD
1002,1,38,13070,3,"HONG TUNG HOUSE, TUNG TAU ESTATE"
1002,1,39,8085,3,WONG CHUNG MING SECONDARY SCHOOL
1002,1,40,13405,3,KAI TAK GARDEN
1002,1,41,1387,3,WONG TAI SIN POLICE STATION
1002,1,42,1167,3,FUNG TAK SHOPPING CENTRE
1002,1,43,995,3,CHI LIN NUNNERY
1002,1,44,1358,3,NGAU CHI WAN BBI - NGAU CHI WAN VILLAGE
1002,1,45,1090,3,NGAU CHI WAN BBI - NGAU CHI WAN MARKET
1002,1,46,1091,3,PAK HUNG HOUSE
1002,1,47,1073,3,KOON YAT HOUSE
1002,1,48,1074,1,CHOI WAN BUS TERMINUS
1006,1,1,550,2,SHAU KEI WAN BUS TERMINUS/<br>Shau Kei Wan
1006,1,2,747,3,"OI YIN STREET/<br>Aldrich Garden, Oi Yin Street"
1006,1,3,12458,3,"PERFECT MOUNT GARDENS/<br>Perfect Mount Gardens, Tung Hei Road"
1006,1,4,101,3,"SUN SING STREET/<br>Sun Sing Street, Shau Kei Wan Road"
1006,1,5,102,3,"HOI AN STREET/<br>Hoi An Street, Shau Kei Wan Road"
1006,1,6,173,3,"SAI WAN HO CIVIC CENTRE/<br>Sai Wan Ho Civic Centre, Shau Kei Wan Road"
1006,1,7,748,3,"TAI FOO STREET/<br>Tai Foo Street, Shau Kei Wan Road"
1006,1,8,104,3,"KORNHILL PLAZA/<br>Kornhill Plaza, Kornhill Road"
1006,1,9,105,3,"BO FUNG GARDENS/<br>Bo Fung Gardens, King's Road"
1006,1,10,749,3,"SUNWAY GARDENS/<br>Sunway Gardens, King's Road"
